Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditorUserId,LastEditDate,Title,LastActivityDate,Tags,AnswerCount,CommentCount,FavoriteCount
61,1,,2008-08-01T00:00:00.000Z,33,2185,,1454806,2013-04-11T00:00:00.000Z,"Office 2007 File Type, Mime Types and Identifying Characters",2017-01-02T00:00:00.000Z,"[office-2007, file-type]",1,0,2
66,1,4521,2008-08-01T00:00:00.000Z,58,4103,17,1039608,2012-05-04T00:00:00.000Z,Paging a collection with LINQ,2017-07-03T00:00:00.000Z,"[linq, .net-3.5]",4,0,5
72,1,,2008-08-01T00:00:00.000Z,30,1140,25,2909897,2016-12-30T00:00:00.000Z,How do I add existing comments to RDoc in Ruby?,2016-12-30T00:00:00.000Z,"[ruby, rdoc]",2,1,
79,1,62853,2008-08-01T00:00:00.000Z,30,10641,58,415755,2016-03-10T00:00:00.000Z,Getting Subclipse in Aptana to work with the newest release of Subversion,2016-03-10T00:00:00.000Z,"[eclipse, svn, aptana, subclipse]",4,0,1
80,1,124,2008-08-01T00:00:00.000Z,31,4697,26,3641067,2017-04-28T00:00:00.000Z,SQLStatement.execute() - multiple queries in one statement,2017-04-28T00:00:00.000Z,"[flex, actionscript-3, air]",3,0,2
85,1,154,2008-08-01T00:00:00.000Z,93,41813,59,243557,2013-10-04T00:00:00.000Z,Flat File Databases,2015-08-24T00:00:00.000Z,"[php, sql, database, flat-file]",12,0,20
88,1,98,2008-08-01T00:00:00.000Z,76,35438,61,,2012-11-27T00:00:00.000Z,Is gettimeofday() guaranteed to be of microsecond resolution?,2016-02-11T00:00:00.000Z,"[linux, winapi, visual-c, unix, timer]",10,0,17
90,1,1466832,2008-08-01T00:00:00.000Z,151,53937,58,58,2017-08-24T00:00:00.000Z,How do you branch and merge with TortoiseSVN?,2017-08-24T00:00:00.000Z,"[svn, tortoisesvn, branch, branching-and-merging]",3,1,92
104,1,112,2008-08-01T00:00:00.000Z,151,10530,39,,2012-11-27T00:00:00.000Z,"Anatomy of a \"Memory Leak\"",2017-05-06T00:00:00.000Z,"[.net, performance, memory-leaks, com-interop]",15,0,63
108,1,111,2008-08-01T00:00:00.000Z,36,14759,72,1288,2011-11-20T00:00:00.000Z,Best Subversion clients for Windows Vista (64bit),2013-11-07T00:00:00.000Z,"[windows, svn, 64bit]",8,0,2
109,1,2585,2008-08-01T00:00:00.000Z,38,4409,71,63550,2015-01-08T00:00:00.000Z,Decoding T-SQL CAST in C#/VB.NET,2015-01-08T00:00:00.000Z,"[c, sql, vb.net, ascii, hex]",2,3,
120,1,,2008-08-01T00:00:00.000Z,28,1183,83,5092716,2017-04-06T00:00:00.000Z,ASP.NET Site Maps,2017-04-06T00:00:00.000Z,"[sql, asp.net, xml, sitemap]",1,1,2
123,1,183,2008-08-01T00:00:00.000Z,87,62535,78,2553431,2015-10-27T00:00:00.000Z,Java lib or app to convert CSV to XML file?,2016-04-10T00:00:00.000Z,"[java, xml, csv, data-conversion]",16,5,18
126,1,127,2008-08-01T00:00:00.000Z,77,9429,58,202431,2010-01-20T00:00:00.000Z,How would you access Object properties from within an object method?,2017-07-18T00:00:00.000Z,"[java, php, oop, theory]",18,0,5
129,1,,2008-08-01T00:00:00.000Z,77,92923,48,4800955,2015-10-10T00:00:00.000Z,How to export data from SQL Server 2005 to MySQL,2015-10-10T00:00:00.000Z,"[mysql, sql-server, csv, sql-server-2005, bcp]",5,5,22
134,1,206,2008-08-01T00:00:00.000Z,23,714,71,3787519,2015-12-29T00:00:00.000Z,XSD DataSets and ignoring foreign keys,2016-03-23T00:00:00.000Z,"[.net, database, xsd]",1,0,
145,1,,2008-08-01T00:00:00.000Z,39,2552,87,481248,2017-01-16T00:00:00.000Z,Compressing / Decompressing Folders & Files,2017-01-16T00:00:00.000Z,"[c, .net, compression, decompression]",8,0,1
146,1,152,2008-08-01T00:00:00.000Z,61,15480,30,3001352,2016-04-22T00:00:00.000Z,How do I track file downloads,2016-06-09T00:00:00.000Z,"[php, apache, logging, download, analytics]",8,0,8
163,1,170,2008-08-01T00:00:00.000Z,79,7540,83,3787519,2015-12-29T00:00:00.000Z,How do I sync the SVN revision number with my ASP.NET web site?,2015-12-29T00:00:00.000Z,"[.net, asp.net, svn, versioning]",7,3,16
164,1,699,2008-08-01T00:00:00.000Z,50,162061,91,1836618,2017-08-21T00:00:00.000Z,Embedding Windows Media Player for all browsers,2017-08-21T00:00:00.000Z,"[windows, embed, media]",9,1,12
173,1,516,2008-08-01T00:00:00.000Z,276,76351,83,1836618,2017-08-21T00:00:00.000Z,Versioning SQL Server database,2017-08-21T00:00:00.000Z,"[sql-server, database, svn, version-control]",29,6,194
174,1,,2008-08-01T00:00:00.000Z,60,12876,96,96,2016-03-11T00:00:00.000Z,How do I print an HTML document from a web service?,2016-03-11T00:00:00.000Z,"[c, html, web-services, printing]",6,1,6
175,1,,2008-08-01T00:00:00.000Z,36,6488,2089740,1836618,2017-08-21T00:00:00.000Z,Annotating YouTube videos programmatically,2017-08-21T00:00:00.000Z,"[youtube, reverse-engineering]",3,0,1
176,1,207,2008-08-01T00:00:00.000Z,90,77324,91,1836618,2017-08-21T00:00:00.000Z,error_log per Virtual Host?,2017-08-21T00:00:00.000Z,"[linux, apache, virtualhost]",10,0,18
180,1,539,2008-08-01T00:00:00.000Z,60,13816,2089740,2922639,2015-12-26T00:00:00.000Z,Function for creating color wheels,2016-04-30T00:00:00.000Z,"[algorithm, language-agnostic, colors, color-space]",8,1,19
192,1,258,2008-08-01T00:00:00.000Z,46,2289,91,1039608,2012-05-04T00:00:00.000Z,Floating Point Number parsing: Is there a Catch All algorithm?,2012-05-04T00:00:00.000Z,"[c, .net, asp.net, internationalization, globalization]",4,0,
194,1,197,2008-08-01T00:00:00.000Z,28,3383,60,165216,2012-06-12T00:00:00.000Z,Upgrading SQL Server 6.5,2017-01-17T00:00:00.000Z,"[sql-server, migration]",4,0,2
227,1,2943318,2008-08-01T00:00:00.000Z,61,4892,146637,500729,2012-06-28T00:00:00.000Z,What's the best way to generate a tag cloud from an array using h1 through h6 for sizing?,2017-07-30T00:00:00.000Z,"[php, arrays, cloud, tag-cloud]",8,0,9
231,1,1812,2008-08-01T00:00:00.000Z,28,23733,62,1039608,2012-05-04T00:00:00.000Z,Register Windows program with the mailto protocol programmatically,2016-09-14T00:00:00.000Z,"[windows, mailto]",3,0,4
234,1,12202,2008-08-01T00:00:00.000Z,65,32311,91,1836618,2017-08-24T00:00:00.000Z,SQL Server 2005 implementation of MySQL REPLACE INTO?,2017-08-24T00:00:00.000Z,"[mysql, sql-server, sql-server-2005]",4,0,15
246,1,176741,2008-08-01T00:00:00.000Z,26,1884,71,1836618,2017-08-24T00:00:00.000Z,Create a SQLite database based on an XSD Data Set,2017-08-24T00:00:00.000Z,"[.net, database, sqlite]",3,0,
260,1,307,2008-08-01T00:00:00.000Z,55,14351,91,1836618,2017-08-24T00:00:00.000Z,Adding scripting functionality to .NET applications,2017-08-24T00:00:00.000Z,"[c, .net, scripting, compiler-construction]",9,3,18
263,1,607,2008-08-01T00:00:00.000Z,28,7013,61,1836618,2017-08-24T00:00:00.000Z,GTK implementation of MessageBox,2017-08-24T00:00:00.000Z,"[c, linux, gtk, x11]",3,1,2
264,1,,2008-08-01T00:00:00.000Z,23,1920,104,1836618,2017-08-24T00:00:00.000Z,BerkeleyDB Concurrency,2017-08-24T00:00:00.000Z,"[c, berkeley-db]",5,0,1
265,1,266,2008-08-01T00:00:00.000Z,25,2364,105,4337,2008-11-08T00:00:00.000Z,"Best Practice: Collaborative Environment, Bin Directory, SVN",2008-11-08T00:00:00.000Z,"[svn, collaboration]",5,0,3
289,1,298,2008-08-02T00:00:00.000Z,626,434667,109,3302711,2015-03-13T00:00:00.000Z,How do you sort a dictionary by value?,2017-06-30T00:00:00.000Z,"[c, sorting, dictionary]",17,0,134
308,1,360,2008-08-02T00:00:00.000Z,95,24185,106,116,2016-09-30T00:00:00.000Z,Is there a version control system for database structure changes?,2017-04-13T00:00:00.000Z,"[sql, database, oracle, version-control]",22,1,37
328,1,7488,2008-08-02T00:00:00.000Z,125,70219,59,1039608,2012-05-04T00:00:00.000Z,PHP Session Security,2012-07-18T00:00:00.000Z,"[security, php]",13,0,181
330,1,332,2008-08-02T00:00:00.000Z,35,3738,63,204623,2012-09-03T00:00:00.000Z,Should I use nested classes in this case?,2013-03-27T00:00:00.000Z,"[c, oop, class, nested-class]",10,0,
336,1,339,2008-08-02T00:00:00.000Z,57,14022,61,63550,2013-07-07T00:00:00.000Z,When to use unsigned values over signed ones?,2014-10-06T00:00:00.000Z,"[language-agnostic, types]",5,2,10
337,1,342,2008-08-02T00:00:00.000Z,55,6727,111,2336654,2016-12-30T00:00:00.000Z,XML Processing in Python,2016-12-30T00:00:00.000Z,"[python, xml]",16,1,7
361,1,362,2008-08-02T00:00:00.000Z,135,188248,115,321731,2013-12-17T00:00:00.000Z,Generate list of all possible permutations of a string,2017-02-06T00:00:00.000Z,"[string, language-agnostic, cross-platform]",35,1,81
371,1,396,2008-08-02T00:00:00.000Z,382,89749,49,1039608,2012-05-04T00:00:00.000Z,How do you make sure email you send programmatically is not automatically marked as spam?,2017-06-27T00:00:00.000Z,"[email, email-spam]",20,0,296
382,1,384,2008-08-02T00:00:00.000Z,55,7957,122,3787519,2015-12-29T00:00:00.000Z,What is the meaning of the type safety warning in certain Java generics casts?,2015-12-29T00:00:00.000Z,"[java, generics, warnings, casting, type-safety]",1,1,6
387,1,,2008-08-02T00:00:00.000Z,34,3303,134,1997093,2016-12-20T00:00:00.000Z,Lucene Score results,2016-12-20T00:00:00.000Z,"[search, lucene]",3,0,
402,1,2530953,2008-08-02T00:00:00.000Z,84,66608,136,294884,2014-06-15T00:00:00.000Z,"iPhone app in landscape mode, 2008 systems",2017-07-08T00:00:00.000Z,"[iphone, objective-c]",9,2,33
419,1,17396,2008-08-02T00:00:00.000Z,28,2123,268,1997093,2016-12-22T00:00:00.000Z,Unload a COM control when working in VB6 IDE,2016-12-22T00:00:00.000Z,"[com, vb6]",1,0,1
427,1,,2008-08-02T00:00:00.000Z,23,889,123,1997093,2016-12-22T00:00:00.000Z,Programmatically launch IE Mobile favorites screen,2016-12-22T00:00:00.000Z,"[internet-explorer, windows-mobile, pocketpc]",3,0,
438,1,77397,2008-08-02T00:00:00.000Z,44,9679,136,1997093,2016-12-22T00:00:00.000Z,"Implementation of \"Remember me\" in a Rails application",2016-12-22T00:00:00.000Z,"[ruby-on-rails, ruby, http]",8,0,10
469,1,3040,2008-08-02T00:00:00.000Z,30,2109,147,1997093,2016-12-22T00:00:00.000Z,How can I find the full path to a font from its display name on a Mac?,2016-12-22T00:00:00.000Z,"[python, osx, fonts, photoshop]",4,0,
470,1,473,2008-08-02T00:00:00.000Z,15,357,71,1997093,2016-12-22T00:00:00.000Z,Homegrown consumption of web services,2016-12-22T00:00:00.000Z,"[.net, web-services]",1,0,1
482,1,509,2008-08-02T00:00:00.000Z,37,18513,77,2912665,2016-12-21T00:00:00.000Z,WinForms ComboBox data binding gotcha,2016-12-21T00:00:00.000Z,"[c, winforms, data-binding]",3,0,4
502,1,7090,2008-08-02T00:00:00.000Z,31,11584,147,63550,2011-04-08T00:00:00.000Z,Get a preview JPEG of a PDF on Windows?,2016-03-25T00:00:00.000Z,"[python, windows, image, pdf]",3,0,12
514,1,519,2008-08-02T00:00:00.000Z,17,1443,151,2912665,2016-12-21T00:00:00.000Z,Frequent SystemExit in Ruby when making HTTP calls,2016-12-21T00:00:00.000Z,"[ruby-on-rails, ruby, crash]",4,0,1
535,1,541,2008-08-02T00:00:00.000Z,45,8361,154,2336654,2016-12-30T00:00:00.000Z,Continuous Integration System for a Python Codebase,2016-12-30T00:00:00.000Z,"[python, continuous-integration, extreme-programming]",7,0,13
549,1,477578,2008-08-02T00:00:00.000Z,4628,494423,136,264325,2016-06-02T00:00:00.000Z,The definitive guide to form-based website authentication,2017-01-27T00:00:00.000Z,"[security, http, authentication, language-agnostic, article]",12,13,5805
561,1,794,2008-08-02T00:00:00.000Z,15,7370,157,4595675,2017-02-14T00:00:00.000Z,How to use combinations of sets as test data,2017-02-14T00:00:00.000Z,"[unit-testing, language-agnostic, testing]",5,1,6
562,1,,2008-08-02T00:00:00.000Z,33,3196,,4337,2008-11-08T00:00:00.000Z,How to write to Web.Config in Medium Trust?,2015-09-25T00:00:00.000Z,"[c, asp.net, medium-trust]",1,1,2
564,1,566,2008-08-02T00:00:00.000Z,196,184066,25,1788806,2016-09-23T00:00:00.000Z,What is the difference between an int and an Integer in Java and C#?,2017-08-04T00:00:00.000Z,"[c, java, integer, int]",22,1,55
580,1,586,2008-08-02T00:00:00.000Z,21,6032,91,2641576,2014-11-25T00:00:00.000Z,Deploying SQL Server Databases from Test to Live,2014-11-25T00:00:00.000Z,"[sql-server, sql-server-2005, deployment, release-management]",14,0,5
588,1,633,2008-08-03T00:00:00.000Z,47,49233,172,4595675,2015-12-14T00:00:00.000Z,Best way to access Exchange using PHP?,2016-03-30T00:00:00.000Z,"[php, windows, exchange-server, webdav, mapi]",8,2,16
594,1,595,2008-08-03T00:00:00.000Z,27,28313,116,116,2016-10-14T00:00:00.000Z,cx_Oracle: How do I iterate over a result set?,2016-10-15T00:00:00.000Z,"[python, sql, database, oracle, cx-oracle]",3,1,7
601,1,602,2008-08-03T00:00:00.000Z,30,1133,,5550041,2015-12-17T00:00:00.000Z,Robust Random Number Generation,2015-12-17T00:00:00.000Z,"[c, c, random]",5,4,2
609,1,,2008-08-03T00:00:00.000Z,16,2726,179,7116,2012-05-01T00:00:00.000Z,Build for Windows NT 4.0 using Visual Studio 2005?,2017-01-17T00:00:00.000Z,"[c, visual-studio, compatibility, windows-nt]",5,1,1
622,1,623,2008-08-03T00:00:00.000Z,42,48397,184,1261166,2012-08-07T00:00:00.000Z,Most efficient code for the first 10000 prime numbers?,2017-05-08T00:00:00.000Z,"[performance, algorithm, primes]",24,3,21
626,1,723,2008-08-03T00:00:00.000Z,309,71559,136,211563,2012-05-18T00:00:00.000Z,"When to use lambda, when to use Proc.new?",2017-07-03T00:00:00.000Z,"[ruby, lambda, proc]",14,3,148
644,1,665,2008-08-03T00:00:00.000Z,44,8455,191,1332690,2012-04-25T00:00:00.000Z,Swap unique indexed column values in database,2017-03-18T00:00:00.000Z,"[sql, database]",11,1,4
650,1,655,2008-08-03T00:00:00.000Z,86,52629,143,868546,2012-08-01T00:00:00.000Z,Automatically update version number,2017-05-10T00:00:00.000Z,"[c, visual-studio, versioning]",7,1,32
651,1,725,2008-08-03T00:00:00.000Z,22,6206,192,5640,2009-03-10T00:00:00.000Z,Checklist for IIS 6/ASP.NET Windows Authentication?,2009-03-10T00:00:00.000Z,"[asp.net, iis, authentication, active-directory]",3,0,1
657,1,669,2008-08-03T00:00:00.000Z,26,3662,115,1938889,2015-04-15T00:00:00.000Z,Encrypting Passwords,2016-07-16T00:00:00.000Z,"[php, encryption, passwords]",6,0,5
683,1,57833,2008-08-03T00:00:00.000Z,32,8365,199,1190,2008-08-23T00:00:00.000Z,Using 'in' to match an attribute of Python objects in an array,2011-11-24T00:00:00.000Z,"[python, arrays, iteration]",8,0,
696,1,704,2008-08-03T00:00:00.000Z,29,7268,204,803367,2015-06-01T00:00:00.000Z,Connect PHP to IBM i (AS/400),2015-06-01T00:00:00.000Z,"[php, database, odbc, db2, ibm-midrange]",8,0,3
705,1,707,2008-08-03T00:00:00.000Z,26,6556,91,49246,2009-06-19T00:00:00.000Z,Embedded Database for .net that can run off a network,2015-05-03T00:00:00.000Z,"[.net, database, embedded-database]",10,1,6
709,1,713,2008-08-03T00:00:00.000Z,40,5842,111,866022,2012-05-20T00:00:00.000Z,.NET Testing Framework Advice,2013-02-07T00:00:00.000Z,"[c, .net, visual-studio, unit-testing]",10,1,5
717,1,799,2008-08-03T00:00:00.000Z,19,9707,,2641576,2014-11-25T00:00:00.000Z,Why doesn't VFP .NET OLEdb provider work in 64 bit Windows?,2014-11-25T00:00:00.000Z,"[.net, sql-server-2005, oledb, legacy, visual-foxpro]",3,0,
742,1,33957,2008-08-03T00:00:00.000Z,36,12663,189,-1,2008-09-11T00:00:00.000Z,Class views in Django,2014-10-08T00:00:00.000Z,"[python, django, views, oop]",9,0,9
746,1,,2008-08-03T00:00:00.000Z,22,8013,192,1957401,2016-01-02T00:00:00.000Z,Format string to title case,2016-03-02T00:00:00.000Z,"[string, language-agnostic, format, title-case]",17,1,2
752,1,755,2008-08-03T00:00:00.000Z,499,318127,192,1034136,2015-05-23T00:00:00.000Z,Get a new object instance from a Type,2017-06-14T00:00:00.000Z,"[c, .net, performance, reflection]",12,0,95
761,1,762,2008-08-03T00:00:00.000Z,11,606,214,1675954,2015-07-23T00:00:00.000Z,Localising date format descriptors,2016-03-27T00:00:00.000Z,"[.net, internationalization, date, globalization]",7,0,
766,1,1619,2008-08-03T00:00:00.000Z,29,2618,1384652,487855,2012-05-31T00:00:00.000Z,Python and MySQL,2015-10-10T00:00:00.000Z,"[python, mysql, postgresql, bpgsql]",6,0,2
769,1,781,2008-08-03T00:00:00.000Z,31,25755,79,5550041,2015-12-17T00:00:00.000Z,Solving a linear equation,2017-06-29T00:00:00.000Z,"[math, linear-algebra, system, linear-equation]",10,1,5
773,1,7286,2008-08-03T00:00:00.000Z,318,152518,207,2026508,2014-08-06T00:00:00.000Z,How do I use Python's itertools.groupby()?,2017-08-25T00:00:00.000Z,"[python, iteration]",11,0,136
805,1,894,2008-08-03T00:00:00.000Z,9,1664,232,3043,2011-11-21T00:00:00.000Z,"ASP, need to use SFTP",2016-04-18T00:00:00.000Z,"[asp-classic, sftp]",5,0,1
810,1,820,2008-08-03T00:00:00.000Z,12,5856,233,902217,2012-10-08T00:00:00.000Z,Visual Studio Setup Project - Per User Registry Settings,2016-12-20T00:00:00.000Z,"[windows, visual-studio, registry, installation]",4,1,1
826,1,97294,2008-08-03T00:00:00.000Z,12,1552,101,101,2008-08-03T00:00:00.000Z,Efficiently get sorted sums of a sorted list,2015-04-17T00:00:00.000Z,"[algorithm, language-agnostic]",8,1,2
832,1,837,2008-08-03T00:00:00.000Z,12,1440,224,2771704,2015-04-07T00:00:00.000Z,How do I most elegantly express left join with aggregate SQL as LINQ query,2016-04-18T00:00:00.000Z,"[c, linq, left-join]",4,0,
833,1,838,2008-08-03T00:00:00.000Z,17,14956,186,15401,2008-10-08T00:00:00.000Z,Editing database records by multiple users,2016-07-14T00:00:00.000Z,"[sql-server, database]",8,0,4
835,1,1023,2008-08-03T00:00:00.000Z,10,6106,91,395659,2013-02-07T00:00:00.000Z,"CruiseControl.net, msbuild, /p:OutputPath and CCNetArtifactDirectory",2013-02-08T00:00:00.000Z,"[msbuild, cruisecontrol.net]",3,0,1
845,1,849,2008-08-03T00:00:00.000Z,100,40672,238,,2016-03-16T00:00:00.000Z,Detecting which font was used in a web page,2017-06-23T00:00:00.000Z,"[javascript, html, css, fonts]",10,2,13
855,1,858,2008-08-03T00:00:00.000Z,11,2898,93,2778810,2014-06-25T00:00:00.000Z,.Net XML comment into API Documentation,2014-06-25T00:00:00.000Z,"[visual-studio, xslt, documentation, sandcastle, xml-comments]",6,0,3
871,1,875,2008-08-03T00:00:00.000Z,393,707115,203,63550,2010-07-23T00:00:00.000Z,Why is Git better than Subversion?,2011-10-25T00:00:00.000Z,"[svn, git]",30,1,870
879,1,885,2008-08-03T00:00:00.000Z,144,98577,58,2581872,2014-05-25T00:00:00.000Z,Are PHP Variables passed by value or by reference?,2017-06-28T00:00:00.000Z,"[php, variables, pass-by-reference, pass-by-value]",12,1,48
888,1,890,2008-08-03T00:00:00.000Z,405,323838,131,4248328,2015-06-04T00:00:00.000Z,How do you debug PHP scripts?,2016-08-04T00:00:00.000Z,"[php, eclipse, debugging, phpstorm, xdebug]",30,15,153
898,1,,2008-08-04T00:00:00.000Z,42,4163,200,1668244,2014-07-10T00:00:00.000Z,Internationalization in your projects,2016-04-24T00:00:00.000Z,"[language-agnostic, unicode, localization, internationalization]",11,1,36
904,1,911,2008-08-04T00:00:00.000Z,56,16864,34,2571493,2016-11-30T00:00:00.000Z,How to word-break on a dash?,2016-11-30T00:00:00.000Z,"[html, css, text]",9,4,12
905,1,942,2008-08-04T00:00:00.000Z,8,490,204,2641576,2014-11-25T00:00:00.000Z,Client collation and SQL Server 2005,2014-11-25T00:00:00.000Z,"[sql-server, sql-server-2005, windows-server-2003]",1,0,1
930,1,951,2008-08-04T00:00:00.000Z,33,22712,245,,2013-12-07T00:00:00.000Z,How do I connect to a database and loop over a recordset in C#?,2016-02-07T00:00:00.000Z,"[c, database, loops, connection]",7,0,1
935,1,938,2008-08-04T00:00:00.000Z,86,178239,246,3576214,2015-01-02T00:00:00.000Z,String literals and escape characters in postgresql,2015-01-02T00:00:00.000Z,"[string, postgresql, escaping]",5,0,11
944,1,1016,2008-08-04T00:00:00.000Z,19,3941,233,395659,2013-02-07T00:00:00.000Z,Unhandled Exception Handler in .NET 1.1,2013-02-07T00:00:00.000Z,"[c, .net, exception, exception-handling]",5,0,1
947,1,1028,2008-08-04T00:00:00.000Z,18,6788,243,298281,2012-05-02T00:00:00.000Z,How to use a mutex in Visual Basic,2014-12-15T00:00:00.000Z,[vb6],3,0,1
972,1,2982,2008-08-04T00:00:00.000Z,438,137036,145,-1,2017-05-23T00:00:00.000Z,Adding a Method to an Existing Object Instance,2017-07-27T00:00:00.000Z,"[python, oop, methods, monkeypatching]",18,0,241
1005,1,37042,2008-08-04T00:00:00.000Z,218,56731,85,85,2009-04-20T00:00:00.000Z,Getting root permissions on a file inside of vi?,2016-12-20T00:00:00.000Z,"[linux, unix, vi]",11,1,102
1010,1,1074,2008-08-04T00:00:00.000Z,18,1521,67,395659,2013-02-07T00:00:00.000Z,"How to get the value of built, encoded ViewState?",2013-02-07T00:00:00.000Z,"[c, asp.net]",3,0,
1024,1,171170,2008-08-04T00:00:00.000Z,16,855,234,2912665,2016-12-21T00:00:00.000Z,How do I fix 'Unprocessed view path found' error with ExceptionNotifier plugin in rails 2.1?,2016-12-21T00:00:00.000Z,"[ruby-on-rails, ruby, exception, plugins]",2,0,
1033,1,1056,2008-08-04T00:00:00.000Z,53,14811,87,395659,2013-02-07T00:00:00.000Z,How to get the Country according to a certain IP?,2015-11-04T00:00:00.000Z,"[ip, lookup, country]",12,2,35
1037,1,1039,2008-08-04T00:00:00.000Z,24,34691,231,725306,2013-03-22T00:00:00.000Z,Displaying Flash content in a C# WinForms application,2013-03-22T00:00:00.000Z,"[c, winforms, flash, adobe, macromedia]",2,1,10
1040,1,1044,2008-08-04T00:00:00.000Z,46,44935,254,140328,2011-08-20T00:00:00.000Z,How do I delete a file which is locked by another process in C#?,2017-01-27T00:00:00.000Z,"[c, file-locking]",8,1,12
1041,1,17198991,2008-08-04T00:00:00.000Z,18,980,,396458,2011-12-02T00:00:00.000Z,Easy-to-Use Regular Expression Support in C++?,2016-12-20T00:00:00.000Z,"[c, regex]",10,5,1
1042,1,1061,2008-08-04T00:00:00.000Z,14,7250,2,2641576,2014-11-25T00:00:00.000Z,Why doesn't SQL Full Text Indexing return results for words containing #?,2014-11-25T00:00:00.000Z,"[sql, sql-server, sql-server-2005, indexing, full-text-search]",2,1,
1053,1,394225,2008-08-04T00:00:00.000Z,15,1542,13,395659,2013-02-07T00:00:00.000Z,"A little diversion into floating point (im)precision, part 1",2017-05-06T00:00:00.000Z,"[math, language-agnostic, floating-point]",10,7,2
1064,1,1096,2008-08-04T00:00:00.000Z,11,1080,,,2016-03-16T00:00:00.000Z,Displaying 100 Floating Cubes Using DirectX OR OpenGL,2016-10-25T00:00:00.000Z,"[language-agnostic, opengl, 3d, directx]",3,0,
